team,match_rank_recent,date,tournament,neutral,side,opponent,home_team,away_team,home_score,away_score,team_scoreline,team_result,city,country
Curaçao,56,2019-03-23,CONCACAF Nations League qualification,0,away,Antigua and Barbuda,Antigua and Barbuda,Curaçao,2,1,1-2,L,North Sound,Antigua and Barbuda
Curaçao,57,2018-11-19,CONCACAF Nations League qualification,0,home,Guadeloupe,Curaçao,Guadeloupe,6,0,6-0,W,Willemstad,Curaçao
Curaçao,58,2018-10-12,CONCACAF Nations League qualification,1,neutral,United States Virgin Islands,United States Virgin Islands,Curaçao,0,5,5-0,W,Bradenton,United States
Curaçao,59,2018-09-10,CONCACAF Nations League qualification,0,home,Grenada,Curaçao,Grenada,10,0,10-0,W,Willemstad,Curaçao
Curaçao,60,2018-03-26,Friendly,0,home,Bolivia,Curaçao,Bolivia,1,0,1-0,W,Willemstad,Curaçao
Czech Republic,1,2026-06-04,Friendly,1,neutral,Guatemala,Guatemala,Czech Republic,1,5,5-1,W,Harrison,United States
Czech Republic,2,2026-05-31,Friendly,0,home,Kosovo,Czech Republic,Kosovo,2,1,2-1,W,Prague,Czech Republic
Czech Republic,3,2026-03-31,FIFA World Cup qualification,0,home,Denmark,Czech Republic,Denmark,2,2,2-2,D,Prague,Czech Republic
Czech Republic,4,2026-03-26,FIFA World Cup qualification,0,home,Republic of Ireland,Czech Republic,Republic of Ireland,2,2,2-2,D,Prague,Czech Republic
Czech Republic,5,2025-11-17,FIFA World Cup qualification,0,home,Gibraltar,Czech Republic,Gibraltar,6,0,6-0,W,Olomouc,Czech Republic
Czech Republic,6,2025-11-13,Friendly,0,home,San Marino,Czech Republic,San Marino,1,0,1-0,W,Karviná,Czech Republic
Czech Republic,7,2025-10-12,FIFA World Cup qualification,0,away,Faroe Islands,Faroe Islands,Czech Republic,2,1,1-2,L,Tórshavn,Faroe Islands
Czech Republic,8,2025-10-09,FIFA World Cup qualification,0,home,Croatia,Czech Republic,Croatia,0,0,0-0,D,Prague,Czech Republic
Czech Republic,9,2025-09-08,Friendly,0,home,Saudi Arabia,Czech Republic,Saudi Arabia,1,1,1-1,D,Hradec Králové,Czech Republic
Czech Republic,10,2025-09-05,FIFA World Cup qualification,0,away,Montenegro,Montenegro,Czech Republic,0,2,2-0,W,Podgorica,Montenegro
