team,match_rank_recent,date,side,home_team,away_team,opponent,team_scoreline,home_score,away_score,team_result,tournament,city,country,neutral,within_last_year,source_url
Bosnia and Herzegovina,16,2024-11-16,away,Germany,Bosnia and Herzegovina,Germany,0-7,7,0,L,UEFA Nations League,Freiburg,Germany,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,17,2024-10-14,home,Bosnia and Herzegovina,Hungary,Hungary,0-2,0,2,L,UEFA Nations League,Zenica,Bosnia and Herzegovina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,18,2024-10-11,home,Bosnia and Herzegovina,Germany,Germany,1-2,1,2,L,UEFA Nations League,Zenica,Bosnia and Herzegovina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,19,2024-09-10,away,Hungary,Bosnia and Herzegovina,Hungary,0-0,0,0,D,UEFA Nations League,Budapest,Hungary,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,20,2024-09-07,away,Netherlands,Bosnia and Herzegovina,Netherlands,2-5,5,2,L,UEFA Nations League,Eindhoven,Netherlands,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,1,2026-06-06,neutral,Brazil,Egypt,Egypt,2-1,2,1,W,Friendly,Cleveland,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,2,2026-05-31,home,Brazil,Panama,Panama,6-2,6,2,W,Friendly,Rio de Janeiro,Brazil,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,3,2026-03-31,neutral,Brazil,Croatia,Croatia,3-1,3,1,W,Friendly,Orlando,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,4,2026-03-26,neutral,Brazil,France,France,1-2,1,2,L,Friendly,Foxborough,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,5,2025-11-18,neutral,Brazil,Tunisia,Tunisia,1-1,1,1,D,Friendly,Lille,France,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,6,2025-11-15,neutral,Brazil,Senegal,Senegal,2-0,2,0,W,Friendly,London,England,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,7,2025-10-14,away,Japan,Brazil,Japan,2-3,3,2,L,Kirin Cup,Tokyo,Japan,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,8,2025-10-10,away,South Korea,Brazil,South Korea,5-0,0,5,W,Friendly,Seoul,South Korea,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,9,2025-09-09,away,Bolivia,Brazil,Bolivia,0-1,1,0,L,FIFA World Cup qualification,El Alto,Bolivia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,10,2025-09-04,home,Brazil,Chile,Chile,3-0,3,0,W,FIFA World Cup qualification,Rio de Janeiro,Brazil,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,11,2025-06-10,home,Brazil,Paraguay,Paraguay,1-0,1,0,W,FIFA World Cup qualification,São Paulo,Brazil,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,12,2025-06-05,away,Ecuador,Brazil,Ecuador,0-0,0,0,D,FIFA World Cup qualification,Guayaquil,Ecuador,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,13,2025-03-25,away,Argentina,Brazil,Argentina,1-4,4,1,L,FIFA World Cup qualification,Buenos Aires,Argentina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,14,2025-03-20,home,Brazil,Colombia,Colombia,2-1,2,1,W,FIFA World Cup qualification,Brasília,Brazil,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,15,2024-11-19,home,Brazil,Uruguay,Uruguay,1-1,1,1,D,FIFA World Cup qualification,Salvador,Brazil,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,16,2024-11-14,away,Venezuela,Brazil,Venezuela,1-1,1,1,D,FIFA World Cup qualification,Maturín,Venezuela,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,17,2024-10-15,home,Brazil,Peru,Peru,4-0,4,0,W,FIFA World Cup qualification,Brasília,Brazil,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,18,2024-10-10,away,Chile,Brazil,Chile,2-1,1,2,W,FIFA World Cup qualification,Santiago,Chile,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,19,2024-09-10,away,Paraguay,Brazil,Paraguay,0-1,1,0,L,FIFA World Cup qualification,Asunción,Paraguay,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Brazil,20,2024-09-06,home,Brazil,Ecuador,Ecuador,1-0,1,0,W,FIFA World Cup qualification,Curitiba,Brazil,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
