fixture_id,fixture_event_name_pt,fixture_home_team,fixture_away_team,h2h_rank_recent,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,source_url
5,Qatar x Suíça,Qatar,Switzerland,1,2018-11-14,Switzerland,Qatar,0,1,Friendly,Lugano,Switzerland,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
6,Brasil x Marrocos,Brazil,Morocco,1,2023-03-25,Morocco,Brazil,2,1,Friendly,Tangier,Morocco,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
6,Brasil x Marrocos,Brazil,Morocco,2,1998-06-16,Brazil,Morocco,3,0,FIFA World Cup,Nantes,France,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
6,Brasil x Marrocos,Brazil,Morocco,3,1997-10-09,Brazil,Morocco,2,0,Friendly,Belém,Brazil,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
8,Austrália x Turquia,Australia,Turkey,1,2004-05-24,Australia,Turkey,0,1,Friendly,Melbourne,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
8,Austrália x Turquia,Australia,Turkey,2,2004-05-21,Australia,Turkey,1,3,Friendly,Sydney,Australia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
10,Holanda x Japão,Netherlands,Japan,1,2013-11-16,Netherlands,Japan,2,2,Friendly,Genk,Belgium,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
10,Holanda x Japão,Netherlands,Japan,2,2010-06-19,Netherlands,Japan,1,0,FIFA World Cup,Durban,South Africa,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
10,Holanda x Japão,Netherlands,Japan,3,2009-09-05,Netherlands,Japan,3,0,Friendly,Enschede,Netherlands,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
12,Suécia x Tunísia,Sweden,Tunisia,1,2003-02-12,Tunisia,Sweden,1,0,Friendly,Radès,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
12,Suécia x Tunísia,Sweden,Tunisia,2,1999-02-10,Tunisia,Sweden,0,1,Friendly,Tunis,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
12,Suécia x Tunísia,Sweden,Tunisia,3,1992-04-22,Tunisia,Sweden,0,1,Friendly,Tunis,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
12,Suécia x Tunísia,Sweden,Tunisia,4,1976-02-28,Tunisia,Sweden,1,1,Friendly,Tunis,Tunisia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
14,Bélgica x Egito,Belgium,Egypt,1,2022-11-18,Egypt,Belgium,2,1,Friendly,Kuwait City,Kuwait,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
14,Bélgica x Egito,Belgium,Egypt,2,2018-06-06,Belgium,Egypt,3,0,Friendly,Brussels,Belgium,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
14,Bélgica x Egito,Belgium,Egypt,3,2005-02-09,Egypt,Belgium,4,0,Friendly,Cairo,Egypt,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
14,Bélgica x Egito,Belgium,Egypt,4,1999-03-30,Belgium,Egypt,0,1,Friendly,Liège,Belgium,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
15,Arábia Saudita x Uruguai,Saudi Arabia,Uruguay,1,2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,Rostov-on-Don,Russia,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
15,Arábia Saudita x Uruguai,Saudi Arabia,Uruguay,2,2014-10-10,Saudi Arabia,Uruguay,1,1,Friendly,Jeddah,Saudi Arabia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
15,Arábia Saudita x Uruguai,Saudi Arabia,Uruguay,3,2002-03-27,Saudi Arabia,Uruguay,3,2,Friendly,Dammam,Saudi Arabia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
16,Irã x Nova Zelândia,Iran,New Zealand,1,2003-10-12,Iran,New Zealand,3,0,Friendly,Tehran,Iran,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
16,Irã x Nova Zelândia,Iran,New Zealand,2,1973-08-12,New Zealand,Iran,0,0,Friendly,Auckland,New Zealand,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
17,França x Senegal,France,Senegal,1,2002-05-31,France,Senegal,0,1,FIFA World Cup,Seoul,South Korea,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
17,França x Senegal,France,Senegal,2,1963-04-18,Senegal,France,2,0,African Friendship Games,Dakar,Senegal,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
19,Argentina x Argélia,Argentina,Algeria,1,2007-06-05,Algeria,Argentina,3,4,Friendly,Barcelona,Spain,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
22,Inglaterra x Croácia,England,Croatia,1,2021-06-13,England,Croatia,1,0,UEFA Euro,London,England,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
22,Inglaterra x Croácia,England,Croatia,2,2018-11-18,England,Croatia,2,1,UEFA Nations League,London,England,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
22,Inglaterra x Croácia,England,Croatia,3,2018-10-12,Croatia,England,0,0,UEFA Nations League,Rijeka,Croatia,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
22,Inglaterra x Croácia,England,Croatia,4,2018-07-11,Croatia,England,2,1,FIFA World Cup,Moscow,Russia,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
22,Inglaterra x Croácia,England,Croatia,5,2009-09-09,England,Croatia,5,1,FIFA World Cup qualification,London,England,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
25,República Tcheca x África do Sul,Czech Republic,South Africa,1,1997-12-13,South Africa,Czech Republic,2,2,Confederations Cup,Riyadh,Saudi Arabia,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
26,Suíça x Bósnia & Herzegovina,Switzerland,Bosnia and Herzegovina,1,2016-03-29,Switzerland,Bosnia and Herzegovina,0,2,Friendly,Zürich,Switzerland,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
27,Canadá x Qatar,Canada,Qatar,1,2022-09-23,Canada,Qatar,2,0,Friendly,Vienna,Austria,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
28,México x República da Coreia,Mexico,South Korea,1,2025-09-09,Mexico,South Korea,2,2,Friendly,Nashville,United States,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
28,México x República da Coreia,Mexico,South Korea,2,2020-11-14,Mexico,South Korea,3,2,Friendly,Wiener Neustadt,Austria,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
28,México x República da Coreia,Mexico,South Korea,3,2018-06-23,South Korea,Mexico,1,2,FIFA World Cup,Rostov-on-Don,Russia,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
